group,time,att_diffdiff,se_traditional,event_time,att_no_covariate_recomputed,spatial_hac_se,hac_n_units,hac_n_pairs_used,hac_truncated,se_ratio_hac_to_traditional,ci_low_traditional,ci_high_traditional,ci_low_spatial_hac,ci_high_spatial_hac,t_traditional,t_spatial_hac,p_traditional,p_spatial_hac,sig_traditional,sig_spatial_hac
2019,2010,-4927.6147200487,3348.2696350882184,-9,1164.193820463195,635.3742484226854,365114,50000000,True,0.1897619719046148,-11490.223204821608,1634.9937647242077,-6172.948246957163,-3682.281193140237,-1.4716899345290841,-7.7554523688699835,0.14110462691833223,8.802911407586108e-15,,***
2019,2011,2237.439432342363,1138.4982352058094,-8,3401.6332528055573,1574.5026526087536,365114,50000000,True,1.3829645087891826,5.98289133897697,4468.895973345749,-848.5857667707937,5323.464631455519,1.9652550730022829,1.4210451971199962,0.04938472264191389,0.15530362038567713,*,
2019,2012,-401.19680216162544,1221.2902992241568,-7,3000.4364506439324,998.5500663834991,365114,50000000,True,0.8176189289457578,-2794.9257886409728,1992.532184317722,-2358.354932273284,1555.9613279500327,-0.3285024063619369,-0.40177935555566163,0.7425318251385689,0.6878464167126002,,
2019,2013,-1348.3776016916884,754.1854924857316,-6,1652.0588489522438,887.266042599331,365114,50000000,True,1.1764559931734793,-2826.5811669637224,129.82596358034561,-3087.419045186377,390.6638418030002,-1.7878593729608214,-1.5196993201063875,0.07379869894734017,0.12858656256753553,.,
2019,2014,-776.0721860867905,301.45433582010276,-5,875.9866628654535,773.0761487969487,365114,50000000,True,2.5644884048318786,-1366.9226842941919,-185.22168787938904,-2291.30143772881,739.1570655552289,-2.574427015539504,-1.0038754750026944,0.010040626764101182,0.3154386390977832,*,
2019,2015,599.381107477401,464.5991707621603,-4,1475.3677703428543,740.9319835377885,365114,50000000,True,1.5947768101314364,-311.2332672164332,1509.9954821712352,-852.8455802566643,2051.6077952114665,1.2901036962552799,0.8089556407262742,0.1970146567016872,0.4185406623284846,,
2019,2016,-652.7014064056193,383.3205057643378,-3,822.6663639372352,917.2548530112869,365114,50000000,True,2.392918821763236,-1404.0095977037213,98.60678489248278,-2450.5209183077413,1145.118105496503,-1.7027563007727393,-0.7115813061798952,0.0886136838524199,0.4767240863667651,.,
2019,2017,2119.720161855008,1621.002165809653,-2,2942.3865257922434,1784.8097634585797,365114,50000000,True,1.1010532873453063,-1057.4440831319116,5296.884406841928,-1378.5069745238084,5617.947298233825,1.3076602897666438,1.187644871320876,0.19098855791707567,0.23497335165892777,,
2019,2018,-2942.3865257922434,1892.9903867728192,-1,0.0,0.0,365114,50000000,True,0.0,-6652.64768386697,767.8746322824823,-2942.3865257922434,-2942.3865257922434,-1.5543589372413247,-inf,0.12009882227648201,,,
2019,2019,1254.7196896725163,562.9225934033467,0,1254.7196896725163,532.7063096831432,365114,50000000,True,0.9463224889633222,151.39140660195676,2358.0479727430757,210.61532269355553,2298.824056651477,2.2289382312524832,2.355368552737494,0.025818014914328807,0.01850434254554293,*,*
