cohort_year,year,event_time,ring,reference_ring,att,se,n_exposed,n_reference,exposed_delta_mean,reference_delta_mean
2013,2018,5,10_25km,gt_50km,-2495.723846555997,83.46037583661901,28515,207960,-808.0101285660229,1687.7137179899742
2013,2018,5,25_50km,gt_50km,-2457.6044853293433,66.50041571339978,71253,207960,-769.8907673393694,1687.7137179899742
2013,2019,6,0_5km,gt_50km,-982.790829174277,190.29983275151255,3990,207960,-53.79656299436415,928.9942661799128
2013,2019,6,5_10km,gt_50km,-1977.1829175057649,145.417447502762,6619,207960,-1048.188651325852,928.9942661799128
2013,2019,6,10_25km,gt_50km,-1756.3198385433843,84.04721344234066,28515,207960,-827.3255723634717,928.9942661799128
2013,2019,6,25_50km,gt_50km,-1969.090437223689,56.43335139071582,71250,207960,-1040.0961710437762,928.9942661799128
2013,2020,7,0_5km,gt_50km,-2061.1458804884473,127.06052008177396,3905,185173,-711.8592615873599,1349.2866189010874
2013,2020,7,5_10km,gt_50km,-2360.9208690246865,166.22979021951465,6433,185173,-1011.6342501235991,1349.2866189010874
2013,2020,7,10_25km,gt_50km,-2288.058271699617,79.15563449331543,28135,185173,-938.7716527985294,1349.2866189010874
2013,2020,7,25_50km,gt_50km,-2501.7560418944013,58.824189304558935,70861,185173,-1152.4694229933139,1349.2866189010874
2013,2021,8,0_5km,gt_50km,-1686.1304347678497,130.40838112911106,3878,182280,-869.4726138110966,816.6578209567531
2013,2021,8,5_10km,gt_50km,-2053.727714535152,149.0833883432508,6400,182280,-1237.0698935783987,816.6578209567531
2013,2021,8,10_25km,gt_50km,-1837.5441488881968,73.72417810167765,28050,182280,-1020.8863279314437,816.6578209567531
2013,2021,8,25_50km,gt_50km,-2013.2559875618472,53.44800524453441,70535,182280,-1196.598166605094,816.6578209567531
2014,2006,-8,0_5km,gt_50km,398.8438046755654,392.8586096590647,1465,385733,437.17020557725454,38.32640090168911
2014,2006,-8,5_10km,gt_50km,1047.734734194798,245.6508854468228,2635,385733,1086.061135096487,38.32640090168911
2014,2006,-8,10_25km,gt_50km,164.2142595453578,90.09794777500684,12968,385733,202.54066044704692,38.32640090168911
2014,2006,-8,25_50km,gt_50km,160.1856651414669,55.89666367319603,34264,385733,198.512066043156,38.32640090168911
2014,2007,-7,0_5km,gt_50km,710.4816090246975,417.18700472865646,1465,370872,1517.7053826088613,807.2237735841638
2014,2007,-7,5_10km,gt_50km,470.7583564685308,222.7347744774196,2635,370872,1277.9821300526946,807.2237735841638
2014,2007,-7,10_25km,gt_50km,-78.61373478053042,106.7107236641053,12968,370872,728.6100388036334,807.2237735841638
2014,2007,-7,25_50km,gt_50km,70.88984977271684,68.52156916544453,34264,370872,878.1136233568807,807.2237735841638
2014,2008,-6,0_5km,gt_50km,-882.9181002760056,338.78942305177225,1465,341163,-164.5072201955321,718.4108800804735
2014,2008,-6,5_10km,gt_50km,-76.32433223081841,282.125073324154,2635,341163,642.0865478496551,718.4108800804735
2014,2008,-6,10_25km,gt_50km,-553.9876468103699,90.02862854002574,12968,341163,164.4232332701035,718.4108800804735
2014,2008,-6,25_50km,gt_50km,-240.5458971365601,61.05466263679735,34264,341163,477.8649829439134,718.4108800804735
2014,2009,-5,0_5km,gt_50km,693.2048906383966,375.9264436710919,1465,317792,1042.7733859564783,349.5684953180816
2014,2009,-5,5_10km,gt_50km,1225.4602232226862,300.420602582167,2635,317792,1575.0287185407678,349.5684953180816
2014,2009,-5,10_25km,gt_50km,742.1539877744062,118.06222395554227,12968,317792,1091.722483092488,349.5684953180816
2014,2009,-5,25_50km,gt_50km,419.059736648724,59.65487996799268,34264,317792,768.6282319668056,349.5684953180816
2014,2010,-4,0_5km,gt_50km,273.10937582514896,355.93785690064976,1465,310792,357.8759628330819,84.76658700793294
2014,2010,-4,5_10km,gt_50km,611.2180711324244,264.27761434935474,2635,310792,695.9846581403573,84.76658700793294
2014,2010,-4,10_25km,gt_50km,-1.192393117553351,86.4356732312654,12968,310792,83.57419389037959,84.76658700793294
2014,2010,-4,25_50km,gt_50km,217.07734688295832,53.71479391994177,34264,310792,301.84393389089126,84.76658700793294
2014,2011,-3,0_5km,gt_50km,621.6086309661897,677.7105685019048,1465,282246,648.208672694847,26.600041728657235
2014,2011,-3,5_10km,gt_50km,360.8756596519231,189.0583595162094,2635,282246,387.47570138058035,26.600041728657235
2014,2011,-3,10_25km,gt_50km,4.662499424908411,84.64600623296195,12968,282246,31.262541153565646,26.600041728657235
2014,2011,-3,25_50km,gt_50km,177.31899121401221,52.60754778602644,34264,282246,203.91903294266945,26.600041728657235
2014,2012,-2,0_5km,gt_50km,418.6309783085179,370.02439477039974,1465,275795,576.9368513056316,158.30587299711377
2014,2012,-2,5_10km,gt_50km,481.0167203128027,191.56546820722133,2635,275795,639.3225933099164,158.30587299711377
2014,2012,-2,10_25km,gt_50km,537.2508923938794,95.05933241972875,12968,275795,695.5567653909932,158.30587299711377
2014,2012,-2,25_50km,gt_50km,473.61594970251406,50.36584047481817,34264,275795,631.9218226996278,158.30587299711377
2014,2013,-1,0_5km,gt_50km,0.0,0.0,1465,274161,0.0,0.0
2014,2013,-1,5_10km,gt_50km,0.0,0.0,2635,274161,0.0,0.0
2014,2013,-1,10_25km,gt_50km,0.0,0.0,12968,274161,0.0,0.0
2014,2013,-1,25_50km,gt_50km,0.0,0.0,34264,274161,0.0,0.0
2014,2014,0,0_5km,gt_50km,-452.21185353128277,336.9341307470631,1465,274161,-17.147939138943197,435.0639143923396
2014,2014,0,5_10km,gt_50km,55.69140509905509,261.6537425596997,2635,274161,490.7553194913947,435.0639143923396
2014,2014,0,10_25km,gt_50km,-131.39245481320864,84.10837596891322,12968,274161,303.67145957913095,435.0639143923396
2014,2014,0,25_50km,gt_50km,-199.87107176198418,51.192354251342906,34264,274161,235.19284263035541,435.0639143923396
2014,2015,1,0_5km,gt_50km,-4.045585177176022,399.4844230507013,1465,274161,-76.47164201684532,-72.4260568396693
2014,2015,1,5_10km,gt_50km,-225.34566664190078,199.66270654507804,2635,274161,-297.77172348157006,-72.4260568396693
2014,2015,1,10_25km,gt_50km,-20.43341547896084,96.67438845786154,12968,274161,-92.85947231863014,-72.4260568396693
2014,2015,1,25_50km,gt_50km,-79.51834695962775,51.40697923884023,34264,274161,-151.94440379929705,-72.4260568396693
2014,2016,2,0_5km,gt_50km,-930.5274418106865,440.75785310023065,1465,274161,-227.09894940111633,703.4284924095701
2014,2016,2,5_10km,gt_50km,-953.7260993195828,168.20036857523013,2635,274161,-250.2976069100127,703.4284924095701
2014,2016,2,10_25km,gt_50km,-735.9793020455579,89.10346542297998,12968,274161,-32.55080963598778,703.4284924095701
2014,2016,2,25_50km,gt_50km,-481.5425930337768,59.27247901827817,34264,274161,221.88589937579334,703.4284924095701
2014,2017,3,0_5km,gt_50km,-2119.98479668897,356.8822607882029,1465,274161,-324.83708184329635,1795.1477148456736
2014,2017,3,5_10km,gt_50km,-1625.2343512157213,184.79206963691271,2635,274161,169.91336362995224,1795.1477148456736
2014,2017,3,10_25km,gt_50km,-972.7615870035621,110.73389184709457,12968,274161,822.3861278421115,1795.1477148456736
2014,2017,3,25_50km,gt_50km,-1056.4419838269368,69.03280564014212,34264,274161,738.7057310187369,1795.1477148456736
2014,2018,4,0_5km,gt_50km,-2171.5857574028614,363.60356018526795,1387,207960,-605.599612518004,1565.9861448848576
2014,2018,4,5_10km,gt_50km,-1803.433451999755,164.54967205745697,2621,207960,-237.44730711489757,1565.9861448848576
2014,2018,4,10_25km,gt_50km,-1265.8791495699397,111.78264713199003,12741,207960,300.1069953149178,1565.9861448848576
2014,2018,4,25_50km,gt_50km,-1093.408976006424,72.93723980044166,33783,207960,472.5771688784338,1565.9861448848576
2014,2019,5,0_5km,gt_50km,-1545.551121095492,334.43704695036024,1387,207960,-738.2844280206953,807.2666930747966
2014,2019,5,5_10km,gt_50km,-983.0306502375897,171.88560117177767,2621,207960,-175.7639571627931,807.2666930747966
2014,2019,5,10_25km,gt_50km,-933.3378096139752,93.2522271115637,12741,207960,-126.07111653917856,807.2666930747966
2014,2019,5,25_50km,gt_50km,-442.51311277878614,67.39646979891728,33782,207960,364.7535802960105,807.2666930747966
2014,2020,6,0_5km,gt_50km,-2142.1406985544336,348.2490329652232,1286,185173,-837.8916594964829,1304.2490390579508
2014,2020,6,5_10km,gt_50km,-1194.2463412856107,209.86197964893523,2506,185173,110.00269777234011,1304.2490390579508
2014,2020,6,10_25km,gt_50km,-1144.3644882880171,103.58603977580655,12344,185173,159.88455076993372,1304.2490390579508
2014,2020,6,25_50km,gt_50km,-790.9357757703365,68.49964691498477,33274,185173,513.3132632876143,1304.2490390579508
2014,2021,7,0_5km,gt_50km,-1634.152233693562,346.03889908353295,1281,182280,-885.272361866056,748.879871827506
2014,2021,7,5_10km,gt_50km,-762.7213524838485,185.66558413605964,2488,182280,-13.841480656342418,748.879871827506
2014,2021,7,10_25km,gt_50km,-637.7897651839387,98.91107285470662,12300,182280,111.09010664356728,748.879871827506
2014,2021,7,25_50km,gt_50km,-513.2661743115139,62.35134411542163,33171,182280,235.6136975159921,748.879871827506
2014,2022,8,0_5km,gt_50km,-1480.82118917378,366.3772926816765,1281,182280,-885.6739242163899,595.1472649573902
2014,2022,8,5_10km,gt_50km,-907.124863011402,184.2639935377409,2488,182280,-311.97759805401176,595.1472649573902
2014,2022,8,10_25km,gt_50km,-698.9053064173372,93.24535436215861,12300,182280,-103.75804145994695,595.1472649573902
2014,2022,8,25_50km,gt_50km,-211.35209742958995,64.39846594952655,33171,182280,383.7951675278003,595.1472649573902
2018,2010,-8,0_5km,gt_50km,447.899553977697,90.4203957672716,39584,213216,-1389.443697235838,-1837.343251213535
2018,2010,-8,5_10km,gt_50km,208.15064643239748,81.30801807316595,61262,213216,-1629.1926047811376,-1837.343251213535
2018,2010,-8,10_25km,gt_50km,184.85368409518537,59.435889349174474,216216,213216,-1652.4895671183497,-1837.343251213535
2018,2010,-8,25_50km,gt_50km,31.7322904069772,57.75207013610371,251980,213216,-1805.6109608065578,-1837.343251213535
2018,2011,-7,0_5km,gt_50km,454.34474896802476,94.58014645786267,39584,209517,-1335.8038596370684,-1790.1486086050932
2018,2011,-7,5_10km,gt_50km,340.8497252203349,83.35254600125151,61262,209517,-1449.2988833847583,-1790.1486086050932
2018,2011,-7,10_25km,gt_50km,190.31815209726983,60.57762034777126,216216,209517,-1599.8304565078233,-1790.1486086050932
2018,2011,-7,25_50km,gt_50km,-119.10361171772047,58.840394860559314,251980,209517,-1909.2522203228136,-1790.1486086050932
2018,2012,-6,0_5km,gt_50km,687.5497549872932,91.60639255010175,39584,209187,-1139.9412731826665,-1827.4910281699597
2018,2012,-6,5_10km,gt_50km,552.1565557897854,82.68140253442897,61262,209187,-1275.3344723801742,-1827.4910281699597
2018,2012,-6,10_25km,gt_50km,600.2461417679433,60.658828124299504,216216,209187,-1227.2448864020164,-1827.4910281699597
2018,2012,-6,25_50km,gt_50km,467.68994899847394,59.00494748797054,251980,209187,-1359.8010791714858,-1827.4910281699597
2018,2013,-5,0_5km,gt_50km,-423.1542210026482,89.7692513335577,39584,209187,-2129.55903585517,-1706.4048148525217
2018,2013,-5,5_10km,gt_50km,-581.6101079319697,79.85707364465921,61262,209187,-2288.0149227844913,-1706.4048148525217
2018,2013,-5,10_25km,gt_50km,-697.2035860893079,59.05314666781812,216216,209187,-2403.6084009418296,-1706.4048148525217
2018,2013,-5,25_50km,gt_50km,-649.9070822847193,58.201304431920065,251980,209187,-2356.311897137241,-1706.4048148525217
2018,2014,-4,0_5km,gt_50km,-317.2185531324915,97.48857327063224,39584,207960,-1591.4716043918024,-1274.253051259311
2018,2014,-4,5_10km,gt_50km,-520.6227768578865,84.0281249672851,61262,207960,-1794.8758281171974,-1274.253051259311
2018,2014,-4,10_25km,gt_50km,-675.9025174992175,61.38265054811053,216216,207960,-1950.1555687585285,-1274.253051259311
2018,2014,-4,25_50km,gt_50km,-576.474692516643,61.00467318789528,251980,207960,-1850.727743775954,-1274.253051259311
2018,2015,-3,0_5km,gt_50km,-255.99152779643055,86.9727245572254,39584,207960,-2134.7833014678254,-1878.7917736713948
2018,2015,-3,5_10km,gt_50km,-365.167825473191,81.35411464999702,61262,207960,-2243.959599144586,-1878.7917736713948
2018,2015,-3,10_25km,gt_50km,-459.7946883250388,58.310599215692946,216216,207960,-2338.5864619964336,-1878.7917736713948
