ring,event_time,att,se,n_cohort_years,mean_n_exposed,mean_n_reference,ci_low,ci_high
25_50km,6,-543.5627129746546,212.8075453903083,15,75775.33333333333,260655.66666666666,-960.6655019396588,-126.45992400965031
25_50km,7,-599.8409479505435,229.25331758791086,14,78530.57142857143,253648.85714285713,-1049.1774504228488,-150.50444547823827
25_50km,8,-652.0723171794491,274.11824904052196,13,65741.76923076923,248551.61538461538,-1189.3440852988722,-114.80054906002601
5_10km,-8,350.5294097760977,289.1548122570149,12,19613.666666666668,318297.5,-216.21402224765149,917.2728417998469
5_10km,-7,220.10925250762315,222.64192011555318,13,18787.923076923078,317345.92307692306,-216.26891091886105,656.4874159341074
5_10km,-6,117.46524727541227,224.18555460617827,14,17941.35714285714,318656.35714285716,-321.93843975269715,556.8689343035217
5_10km,-5,7.068361696754577,207.21714426795435,15,17055.666666666668,319574.13333333336,-399.07724106843597,413.21396446194507
5_10km,-4,14.980927527261368,201.61924108743287,16,16378.1875,319876.0,-380.19278500410707,410.1546400586298
5_10km,-3,128.75498421836153,207.0448536716625,17,15535.058823529413,317906.76470588235,-277.052928978097,534.5628974148201
5_10km,-2,387.5477178193666,260.4288357007145,18,14761.555555555555,316196.3333333333,-122.89280015403381,897.988235792767
5_10km,-1,0.0,0.0,19,14219.157894736842,311632.2105263158,0.0,0.0
5_10km,0,-34.22314138376599,123.24274108957489,19,14219.157894736842,311632.2105263158,-275.77891391933275,207.3326311518008
5_10km,1,-128.56250623527006,140.59844194565449,18,13736.833333333334,307275.05555555556,-404.13545244875286,147.01043997821273
5_10km,2,-243.39633428066148,179.3592879672906,17,11324.882352941177,302688.76470588235,-594.940538696551,108.14787013522809
5_10km,3,-209.40486513850323,242.3563468029058,17,11200.882352941177,290791.4117647059,-684.4233048721985,265.6135745951921
5_10km,4,-277.44612896214505,232.42106944776958,17,11163.35294117647,276692.0588235294,-732.9914250797734,178.09916715548331
5_10km,5,-439.77054159421357,248.10883579301316,16,10846.75,269403.0,-926.0638597485193,46.52277656009221
5_10km,6,-497.968666308181,236.60829299237432,15,9093.6,260655.66666666666,-961.7209205732347,-34.21641204312738
5_10km,7,-614.0956133900494,280.4232063025122,14,9587.357142857143,253648.85714285713,-1163.7250977429733,-64.46612903712548
5_10km,8,-840.1807571732822,286.87601438429164,13,5884.076923076923,248551.61538461538,-1402.4577453664938,-277.9037689800706
