year,ring,reference_ring,n_ring,n_reference,exposure_probability,reference_probability,ht_difference,hajek_difference
2006,25_50km,gt_50km,261847,418997,0.2557454256351955,0.40923350699022715,413.9937264801313,413.9937264801313
2006,5_10km,gt_50km,70218,418997,0.06858177598846715,0.40923350699022715,399.8411843616502,399.84118436165045
2007,0_5km,gt_50km,70137,403506,0.06878530006835672,0.39572951921785005,-26.95363071608608,-26.953630716085854
2007,10_25km,gt_50km,210437,403506,0.20638139912577932,0.39572951921785005,153.45732004595106,153.4573200459513
2007,25_50km,gt_50km,262342,403506,0.2572860714107082,0.39572951921785005,-17.12780160086959,-17.127801600869134
2007,5_10km,gt_50km,73229,403506,0.07181771017730576,0.39572951921785005,154.1459466751803,154.1459466751803
2008,0_5km,gt_50km,75341,368702,0.07408241387074983,0.3625427610328135,-361.7889998601454,-361.7889998601456
2008,10_25km,gt_50km,224405,368702,0.22065627061846294,0.3625427610328135,-167.30883077631256,-167.30883077631256
2008,25_50km,gt_50km,269502,368702,0.26499991641994164,0.3625427610328135,-27.139389098782658,-27.139389098782658
2008,5_10km,gt_50km,79039,368702,0.0777186380580321,0.3625427610328135,-305.65840394139923,-305.65840394139946
2009,0_5km,gt_50km,81497,332046,0.08128606266737816,0.3311865708486478,240.48329542825036,240.48329542825013
2009,10_25km,gt_50km,237124,332046,0.2365102558859759,0.3311865708486478,326.94804503661317,326.94804503661317
2009,25_50km,gt_50km,267743,332046,0.26705000523641154,0.3311865708486478,331.09189924979887,331.09189924979887
2009,5_10km,gt_50km,84185,332046,0.08396710536158668,0.3311865708486478,327.2430029759596,327.2430029759596
2010,0_5km,gt_50km,83892,319552,0.08376827425891957,0.31908071777983915,206.36017390701,206.36017390700977
2010,10_25km,gt_50km,241750,319552,0.24139346185683744,0.31908071777983915,259.68554107651926,259.6855410765195
2010,25_50km,gt_50km,269563,319552,0.26916544264121894,0.31908071777983915,229.0529481516071,229.05294815160732
2010,5_10km,gt_50km,86720,319552,0.08659210346318487,0.31908071777983915,200.38379573953011,200.3837957395299
2011,0_5km,gt_50km,93692,288418,0.09470707038033645,0.29154275525077783,351.00738933722187,351.00738933722255
2011,10_25km,gt_50km,250783,288418,0.2535000131408436,0.29154275525077783,312.14467042098113,312.1446704209818
2011,25_50km,gt_50km,260594,288418,0.26341730669313707,0.29154275525077783,88.27208909270234,88.2720890927028
2011,5_10km,gt_50km,95795,288418,0.09683285453490512,0.29154275525077783,330.580948291778,330.58094829177867
2012,0_5km,gt_50km,95977,281274,0.09710487310106891,0.2845793896103239,314.44139477872045,314.44139477871977
2012,10_25km,gt_50km,254496,281274,0.2574867081147528,0.2845793896103239,623.4234875091383,623.4234875091379
2012,25_50km,gt_50km,258559,281274,0.2615974544332421,0.2845793896103239,277.3991570273106,277.39915702731014
2012,5_10km,gt_50km,98079,281274,0.09923157474061221,0.2845793896103239,554.405972770141,554.4059727701404
2013,0_5km,gt_50km,98910,279630,0.1002478069842042,0.28341213494078477,-328.5501980946068,-328.5501980946068
2013,10_25km,gt_50km,254605,279630,0.25804865935914784,0.28341213494078477,-195.6551675311589,-195.65516753115878
2013,25_50km,gt_50km,253226,279630,0.25665100769772614,0.28341213494078477,-184.12318883691376,-184.12318883691364
2013,5_10km,gt_50km,100284,279630,0.10164039101813704,0.28341213494078477,-252.6794698549137,-252.67946985491346
2014,0_5km,gt_50km,99891,274161,0.10127985059115653,0.27797284157653906,-285.76005475891907,-285.76005475891884
2014,10_25km,gt_50km,256868,274161,0.2604394055685617,0.27797284157653906,-227.98075927151444,-227.98075927151422
2014,25_50km,gt_50km,254319,274161,0.25785496513692263,0.27797284157653906,-223.38930087837912,-223.3893008783789
2014,5_10km,gt_50km,101048,274161,0.10245293712682009,0.27797284157653906,-336.9209605926553,-336.9209605926551
2015,0_5km,gt_50km,99891,274161,0.10127985059115653,0.27797284157653906,-225.9766820677803,-225.9766820677803
2015,10_25km,gt_50km,256868,274161,0.2604394055685617,0.27797284157653906,-173.15758611693343,-173.15758611693343
2015,25_50km,gt_50km,254319,274161,0.25785496513692263,0.27797284157653906,13.748148316693914,13.748148316693914
2015,5_10km,gt_50km,101048,274161,0.10245293712682009,0.27797284157653906,-271.2104318477981,-271.2104318477981
2016,0_5km,gt_50km,99891,274161,0.10127985059115653,0.27797284157653906,138.0101577505211,138.01015775052178
2016,10_25km,gt_50km,256868,274161,0.2604394055685617,0.27797284157653906,90.24934194893285,90.24934194893353
2016,25_50km,gt_50km,254319,274161,0.25785496513692263,0.27797284157653906,368.4191791230321,368.4191791230328
