covariate_set,group,time,att,se
none,2005,2010,417.4224069901341,117.23280707793053
none,2005,2011,234.84240708315917,112.95466617742744
none,2005,2012,469.6424344261468,132.995049275426
none,2005,2013,69.67450977624037,114.14968242503822
none,2005,2014,5.966831789885447,220.72940488342124
none,2005,2015,62.43714698761153,122.96919942531616
none,2005,2016,-489.95135276145055,141.5970180595785
none,2005,2017,-1112.1860898418465,293.8117792493912
none,2005,2018,-647.5193366654361,152.14102845905435
none,2005,2019,-716.008237164902,114.29593284726485
none,2005,2020,-1093.0047744738358,137.72861646099338
none,2005,2021,-525.6558290831217,137.65661785420187
none,2005,2022,-613.7251995436084,111.67962255708964
none,2005,2023,-119.50127876203072,118.37596534955608
none,2005,2024,-23.15196737658144,127.81879522652254
none,2005,2025,51.617930188754684,125.2231195325265
none,2006,2002,-553.8514430462926,446.82695223822026
none,2006,2003,-981.8854347395331,427.102092500321
none,2006,2004,1071.6037897548608,442.56133715703413
none,2006,2005,-596.9761860440076,423.9373932853914
none,2006,2006,290.73948062468787,413.33512832204684
none,2006,2007,-483.97284901233866,381.6352307746141
none,2006,2008,-815.6432700523271,487.32345304774157
none,2006,2009,328.0566724540019,357.39476816889646
none,2006,2010,527.3854551148904,675.0014526880682
none,2006,2011,-49.51935232710432,385.7637417437479
none,2006,2012,158.54887940614856,449.98736547407776
none,2006,2013,-758.2243371054203,389.0579325018766
none,2006,2014,-1002.5049292134715,393.5637098852027
none,2006,2015,-808.6260719765854,402.05360512503444
none,2006,2016,-1146.7257266118254,394.994847862875
none,2006,2017,-147.31715454940377,684.0040968588576
none,2006,2018,-1418.2195308908633,395.05600764122073
none,2006,2019,-1675.0076491187815,272.71527447459
none,2006,2020,-2318.730862695381,347.5346887814296
none,2006,2021,-1628.1017196106723,376.5619346176747
none,2006,2022,-1965.9636291620245,325.37693862950476
none,2006,2023,-796.3583975307436,373.4344903910609
none,2006,2024,-680.4010701647358,410.61465813630736
none,2006,2025,-936.0647117296761,338.1293054840298
none,2007,2002,-328.9850788791948,77.53792402719682
none,2007,2003,395.338505979002,58.5223799735172
none,2007,2004,-648.382128760987,58.875934842560106
none,2007,2005,350.1083911710759,51.31771271180224
none,2007,2006,258.53532074933736,47.368946409532484
none,2007,2007,-713.3023965483142,49.763851022778795
none,2007,2008,-507.4868086724293,63.65168714890255
none,2007,2009,-228.32123666341883,55.36970390714648
none,2007,2010,-40.69038188783128,61.2168637377779
none,2007,2011,-199.53998943658073,48.29367303412656
none,2007,2012,-103.39899328755374,62.1090304730316
none,2007,2013,-390.2899135229884,48.308554516720825
none,2007,2014,-729.8775118706675,48.501387628793054
none,2007,2015,-503.8442282550192,43.935961295736945
none,2007,2016,-1161.8331772338872,54.38750748632939
none,2007,2017,-1745.3161696685647,71.05341245809879
none,2007,2018,-1545.8686000837472,51.72764386583765
none,2007,2019,-1119.406139424091,57.34443530432158
none,2007,2020,-1626.366669807225,61.29670113358815
none,2007,2021,-1091.107538207353,55.09903252543252
none,2007,2022,-948.819147391775,60.519899788933934
none,2007,2023,-646.9188713665715,47.00973114198012
none,2007,2024,-535.8440091984733,50.04036095909752
none,2007,2025,-499.4068987670035,53.51727090777846
none,2008,2002,344.4960861156557,198.33820099833068
none,2008,2003,222.8344006245689,202.58058061860297
none,2008,2004,-583.6159861619742,180.61152324146423
none,2008,2005,-2.6364059754076834,167.8441423252479
none,2008,2006,165.29419230529368,142.9235125656578
none,2008,2007,-1092.6445761552109,116.72334378611083
none,2008,2008,-104.02720300479159,110.6465780306025
none,2008,2009,847.4110570012126,123.11227406309969
none,2008,2010,605.2327686224104,132.83162532720812
none,2008,2011,754.4949571811476,146.43520927094795
none,2008,2012,409.707810950191,106.46111325803952
none,2008,2013,30.39368771420152,100.52504200603605
none,2008,2014,-253.8773907842487,101.32337584212969
none,2008,2015,14.793659025326065,104.48376039336296
none,2008,2016,-493.3008616857069,113.66345303372339
none,2008,2017,257.15546282117134,237.28479181566934
none,2008,2018,-468.65251554944416,136.75291252742093
none,2008,2019,-322.30656863894745,123.1218147712674
none,2008,2020,-333.66367044052396,161.41737135049482
none,2008,2021,-411.73822967700266,119.01834835605004
none,2008,2022,-455.1872840161209,106.81812683607389
none,2008,2023,248.44659321994243,122.73959878088392
none,2008,2024,47.53816542458685,111.70406957078661
none,2008,2025,213.1230982482614,123.97356885784289
none,2009,2002,-156.07088460393425,56.59661798133433
none,2009,2003,319.3848673524476,50.96816791834305
none,2009,2004,-373.26094817179717,55.05610012587226
none,2009,2005,180.52872582801658,54.99111808560097
none,2009,2006,170.51935016058235,45.45341769673984
none,2009,2007,-797.3506094248585,47.29155643390868
none,2009,2008,64.73145875665308,50.6164880860238
none,2009,2009,629.052534502876,56.90430301055111
