buffer_km,cohort_year,event_time,year,treated_mean_loss_m2,control_mean_loss_m2,difference_m2,n_treated_rows,n_control_rows
10.0,2011,-2,2009,2800.128313108812,1658.6272485468437,1141.5010645619684,12195,836913
10.0,2011,-1,2010,2129.179163900352,1377.934312499887,751.2448514004648,12195,830865
10.0,2012,-8,2004,949.9207559330115,1803.6742089484121,-853.7534530154006,897,899883
10.0,2012,-7,2005,1338.8698676057843,1338.8000554002924,0.06981220549187128,897,891594
10.0,2012,-6,2006,564.4522068923342,1301.1502789210383,-736.6980720287041,897,886527
10.0,2012,-5,2007,779.6507216213461,1866.6295399983055,-1086.9788183769595,897,876285
10.0,2012,-4,2008,1035.6814800785369,1671.3777670927716,-635.6962870142347,897,862609
10.0,2012,-3,2009,1282.374303303444,1658.6272485468437,-376.2529452433996,897,836913
10.0,2012,-2,2010,1183.160499849098,1377.934312499887,-194.77381265078907,897,830865
10.0,2012,-1,2011,622.2857829603239,1308.2611679799431,-685.9753850196192,897,799795
10.0,2013,-8,2005,889.7435764670131,1338.8000554002924,-449.0564789332793,1730,891594
10.0,2013,-7,2006,1099.1864478276493,1301.1502789210383,-201.963831093389,1730,886527
10.0,2013,-6,2007,927.459375978721,1866.6295399983055,-939.1701640195845,1730,876285
10.0,2013,-5,2008,1300.7601555889416,1671.3777670927716,-370.61761150382995,1730,862609
10.0,2013,-4,2009,1113.2735072592473,1658.6272485468437,-545.3537412875964,1730,836913
10.0,2013,-3,2010,732.388160043989,1377.934312499887,-645.546152455898,1730,830865
10.0,2013,-2,2011,936.4613238371126,1308.2611679799431,-371.7998441428306,1730,799795
10.0,2013,-1,2012,1114.3480205498447,1597.0625549750482,-482.7145344252035,1730,794329
10.0,2014,-8,2006,544.9721885772211,1301.1502789210383,-756.1780903438172,368,886527
10.0,2014,-7,2007,2705.7935934764346,1866.6295399983055,839.1640534781291,368,876285
10.0,2014,-6,2008,1553.0772342385947,1671.3777670927716,-118.30053285417694,368,862609
10.0,2014,-5,2009,1266.01850789388,1658.6272485468437,-392.60874065296366,368,836913
10.0,2014,-4,2010,490.9942287207666,1377.934312499887,-886.9400837791204,368,830865
10.0,2014,-3,2011,523.5946824739657,1308.2611679799431,-784.6664855059774,368,799795
10.0,2014,-2,2012,1064.4499950360155,1597.0625549750482,-532.6125599390327,368,794329
10.0,2014,-1,2013,366.99013443773663,1028.1392933977156,-661.149158959979,368,787461
10.0,2018,-8,2010,1418.072146360036,1377.934312499887,40.13783386014893,11890,830865
10.0,2018,-7,2011,1035.443943598072,1308.2611679799431,-272.81722438187103,11890,799795
10.0,2018,-6,2012,1254.4454087682811,1597.0625549750482,-342.6171462067671,11890,794329
10.0,2018,-5,2013,517.1142038597732,1028.1392933977156,-511.02508953794245,11890,787461
10.0,2018,-4,2014,882.2935094945092,1459.9523512457422,-577.658841751233,11890,785348
10.0,2018,-3,2015,608.4997370427835,1047.1858373647583,-438.6861003219748,11890,785348
10.0,2018,-2,2016,937.5925303083602,2024.047319441305,-1086.4547891329448,11890,785348
10.0,2018,-1,2017,1603.108574749978,3034.319633823593,-1431.211059073615,11890,785348
10.0,2019,-8,2011,2701.745634856047,1308.2611679799431,1393.484466876104,9,799795
10.0,2019,-7,2012,2452.812817090269,1597.0625549750482,855.750262115221,9,794329
10.0,2019,-6,2013,990.6748250325521,1028.1392933977156,-37.4644683651635,9,787461
10.0,2019,-5,2014,594.7837727864584,1459.9523512457422,-865.1685784592838,9,785348
10.0,2019,-4,2015,792.2044926396123,1047.1858373647583,-254.98134472514596,9,785348
10.0,2019,-3,2016,1015.2206472758376,2024.047319441305,-1008.8266721654675,9,785348
10.0,2019,-2,2017,3925.7082815797758,3034.319633823593,891.3886477561828,9,785348
10.0,2019,-1,2018,493.94281684027777,2602.6885689223627,-2108.745752082085,9,735060
10.0,2020,-8,2012,344.8753192700776,1597.0625549750482,-1252.1872357049706,24879,794329
10.0,2020,-7,2013,224.92066801306797,1028.1392933977156,-803.2186253846477,24879,787461
10.0,2020,-6,2014,168.8318925686432,1459.9523512457422,-1291.120458677099,24879,785348
10.0,2020,-5,2015,77.01599205619353,1047.1858373647583,-970.1698453085647,24879,785348
10.0,2020,-4,2016,184.9236791576265,2024.047319441305,-1839.1236402836785,24879,785348
10.0,2020,-3,2017,527.6358669275778,3034.319633823593,-2506.683766896015,24879,785348
10.0,2020,-2,2018,1098.3393099985979,2602.6885689223627,-1504.3492589237649,24879,735060
10.0,2020,-1,2019,640.0498726467459,2014.0717210692055,-1374.0218484224597,24879,735054
10.0,2021,-8,2013,627.8754927546424,1028.1392933977156,-400.2638006430732,2119,787461
10.0,2021,-7,2014,1175.047012165739,1459.9523512457422,-284.90533908000316,2119,785348
10.0,2021,-6,2015,886.1161176849486,1047.1858373647583,-161.06971967980974,2119,785348
10.0,2021,-5,2016,1613.2221033278156,2024.047319441305,-410.82521611348943,2119,785348
10.0,2021,-4,2017,3522.2778748517026,3034.319633823593,487.95824102810957,2119,785348
10.0,2021,-3,2018,1793.4026813850148,2602.6885689223627,-809.2858875373479,2119,735060
10.0,2021,-2,2019,1302.4357049208634,2014.0717210692055,-711.6360161483422,2119,735054
10.0,2021,-1,2020,1070.3173734796317,2394.7161388509658,-1324.398765371334,2119,691507
10.0,2024,-8,2016,1746.2347420559781,2024.047319441305,-277.8125773853269,10865,785348
10.0,2024,-7,2017,2544.365823625867,3034.319633823593,-489.95381019772594,10865,785348
10.0,2024,-6,2018,1187.8563056632827,2602.6885689223627,-1414.83226325908,10865,735060
10.0,2024,-5,2019,832.7659148347716,2014.0717210692055,-1181.305806234434,10865,735054
10.0,2024,-4,2020,903.9880991379641,2394.7161388509658,-1490.7280397130016,10865,691507
10.0,2024,-3,2021,838.3127616366979,2023.5416668330781,-1185.2289051963803,10865,680129
10.0,2024,-2,2022,947.9651406053539,1986.0177125365578,-1038.052571931204,10865,680129
10.0,2024,-1,2023,1093.5822577629904,1496.1479346154567,-402.56567685246637,10865,680129
10.0,2025,-8,2017,4966.737384765037,3034.319633823593,1932.417750941444,2850,785348
10.0,2025,-7,2018,4459.880255378316,2602.6885689223627,1857.1916864559535,2850,735060
10.0,2025,-6,2019,3447.3567671242768,2014.0717210692055,1433.2850460550712,2850,735054
10.0,2025,-5,2020,3655.489584372211,2394.7161388509658,1260.7734455212453,2850,691507
10.0,2025,-4,2021,2737.4636568622414,2023.5416668330781,713.9219900291632,2850,680129
10.0,2025,-3,2022,3029.863629689986,1986.0177125365578,1043.845917153428,2850,680129
10.0,2025,-2,2023,2289.672984694138,1496.1479346154567,793.5250500786813,2850,680129
10.0,2025,-1,2024,1268.6024237431336,1526.0626809240548,-257.4602571809212,2850,640919
25.0,2002,-1,2001,59.36533778766694,1592.6176968203806,-1533.2523590327137,11294,738756
25.0,2003,-2,2001,5402.907280646108,1592.6176968203806,3810.2895838257273,93,738756
25.0,2003,-1,2002,350.987772505308,1315.1565846567935,-964.1688121514856,93,718498
25.0,2004,-3,2001,1943.5918491941843,1592.6176968203806,350.9741523738037,41,738756
25.0,2004,-2,2002,134.85015590673197,1315.1565846567935,-1180.3064287500615,41,718498
25.0,2004,-1,2003,279.12500297732464,900.8594184732962,-621.7344154959715,41,714588
25.0,2005,-4,2001,570.3558269252491,1592.6176968203806,-1022.2618698951316,1104,738756
25.0,2005,-3,2002,1034.6959347617867,1315.1565846567935,-280.4606498950068,1104,718498
25.0,2005,-2,2003,515.3497795534256,900.8594184732962,-385.50963891987055,1104,714588
25.0,2005,-1,2004,587.0149525080055,1741.9507047129784,-1154.935752204973,1104,712941
25.0,2006,-5,2001,3051.778447108265,1592.6176968203806,1459.1607502878844,773,738756
25.0,2006,-4,2002,2531.8750338968603,1315.1565846567935,1216.7184492400668,773,718498
25.0,2006,-3,2003,1015.3261102527619,900.8594184732962,114.46669177946569,773,714588
25.0,2006,-2,2004,2866.5715291313277,1741.9507047129784,1124.6208244183492,773,712941
25.0,2006,-1,2005,1870.2228134665797,1326.8023446688328,543.4204687977469,773,692651
25.0,2007,-6,2001,737.896090670037,1592.6176968203806,-854.7216061503436,4207,738756
25.0,2007,-5,2002,442.8590416257302,1315.1565846567935,-872.2975430310632,4207,718498
25.0,2007,-4,2003,303.53405870016707,900.8594184732962,-597.3253597731291,4207,714588
25.0,2007,-3,2004,434.79355906288527,1741.9507047129784,-1307.1571456500933,4207,712941
25.0,2007,-2,2005,385.52942061322045,1326.8023446688328,-941.2729240556123,4207,692651
25.0,2007,-1,2006,391.25868671248526,1247.3853334055375,-856.1266466930522,4207,680844
25.0,2008,-7,2001,1395.4551846244738,1592.6176968203806,-197.16251219590686,2662,738756
25.0,2008,-6,2002,1773.8993005750178,1315.1565846567935,458.74271591822435,2662,718498
25.0,2008,-5,2003,1462.070212295021,900.8594184732962,561.2107938217249,2662,714588
25.0,2008,-4,2004,1658.0958552567524,1741.9507047129784,-83.85484945622602,2662,712941
25.0,2008,-3,2005,1256.0869196606038,1326.8023446688328,-70.71542500822898,2662,692651
25.0,2008,-2,2006,1168.575057315825,1247.3853334055375,-78.81027608971249,2662,680844
25.0,2008,-1,2007,874.3108942277188,1828.1566801855106,-953.8457859577918,2662,665848
25.0,2009,-8,2001,598.6520442257497,1592.6176968203806,-993.9656525946309,14394,738756
25.0,2009,-7,2002,476.5291894567035,1315.1565846567935,-838.62739520009,14394,718498
25.0,2009,-6,2003,261.250567904586,900.8594184732962,-639.6088505687102,14394,714588
25.0,2009,-5,2004,667.6312488564939,1741.9507047129784,-1074.3194558564846,14394,712941
25.0,2009,-4,2005,448.78744506376984,1326.8023446688328,-878.014899605063,14394,692651
25.0,2009,-3,2006,366.5007405742797,1247.3853334055375,-880.8845928312578,14394,680844
25.0,2009,-2,2007,367.530544216526,1828.1566801855106,-1460.6261359689847,14394,665848
25.0,2009,-1,2008,413.79218049040304,1711.9212239211415,-1298.1290434307384,14394,638204
25.0,2010,-8,2002,910.2799337093846,1315.1565846567935,-404.87665094740885,1118,718498
25.0,2010,-7,2003,312.87843059133155,900.8594184732962,-587.9809878819647,1118,714588
25.0,2010,-6,2004,1159.3741740456926,1741.9507047129784,-582.5765306672859,1118,712941
25.0,2010,-5,2005,659.5992239862337,1326.8023446688328,-667.2031206825991,1118,692651
25.0,2010,-4,2006,1334.9243703338047,1247.3853334055375,87.53903692826725,1118,680844
25.0,2010,-3,2007,564.1857995784021,1828.1566801855106,-1263.9708806071085,1118,665848
25.0,2010,-2,2008,826.6227487246094,1711.9212239211415,-885.2984751965321,1118,638204
25.0,2010,-1,2009,1411.1248968563877,1607.8683220862958,-196.7434252299081,1118,599789
25.0,2011,-8,2003,1747.303822034448,900.8594184732962,846.444403561152,12195,714588
25.0,2011,-7,2004,3492.042664733479,1741.9507047129784,1750.0919600205004,12195,712941
25.0,2011,-6,2005,2361.3614692582382,1326.8023446688328,1034.5591245894054,12195,692651
25.0,2011,-5,2006,2585.4115869236407,1247.3853334055375,1338.0262535181032,12195,680844
25.0,2011,-4,2007,3021.4843266131925,1828.1566801855106,1193.3276464276819,12195,665848
25.0,2011,-3,2008,1892.865007665182,1711.9212239211415,180.9437837440405,12195,638204
25.0,2011,-2,2009,2800.128313108812,1607.8683220862958,1192.2599910225163,12195,599789
25.0,2011,-1,2010,2129.179163900352,1332.87097592427,796.3081879760819,12195,589115
25.0,2012,-8,2004,949.9207559330115,1741.9507047129784,-792.029948779967,897,712941
25.0,2012,-7,2005,1338.8698676057843,1326.8023446688328,12.067522936951491,897,692651
25.0,2012,-6,2006,564.4522068923342,1247.3853334055375,-682.9331265132033,897,680844
25.0,2012,-5,2007,779.6507216213461,1828.1566801855106,-1048.5059585641645,897,665848
25.0,2012,-4,2008,1035.6814800785369,1711.9212239211415,-676.2397438426046,897,638204
25.0,2012,-3,2009,1282.374303303444,1607.8683220862958,-325.49401878285175,897,599789
25.0,2012,-2,2010,1183.160499849098,1332.87097592427,-149.71047607517198,897,589115
25.0,2012,-1,2011,622.2857829603239,1223.523249161474,-601.2374662011501,897,549012
25.0,2013,-8,2005,889.7435764670131,1326.8023446688328,-437.0587682018197,1730,692651
25.0,2013,-7,2006,1099.1864478276493,1247.3853334055375,-148.19888557788818,1730,680844
25.0,2013,-6,2007,927.459375978721,1828.1566801855106,-900.6973042067896,1730,665848
25.0,2013,-5,2008,1300.7601555889416,1711.9212239211415,-411.1610683321999,1730,638204
25.0,2013,-4,2009,1113.2735072592473,1607.8683220862958,-494.5948148270486,1730,599789
25.0,2013,-3,2010,732.388160043989,1332.87097592427,-600.4828158802809,1730,589115
25.0,2013,-2,2011,936.4613238371126,1223.523249161474,-287.0619253243615,1730,549012
25.0,2013,-1,2012,1114.3480205498447,1439.8914336391636,-325.54341308931885,1730,539833
25.0,2014,-8,2006,544.9721885772211,1247.3853334055375,-702.4131448283164,368,680844
25.0,2014,-7,2007,2705.7935934764346,1828.1566801855106,877.636913290924,368,665848
25.0,2014,-6,2008,1553.0772342385947,1711.9212239211415,-158.84398968254686,368,638204
25.0,2014,-5,2009,1266.01850789388,1607.8683220862958,-341.8498141924158,368,599789
25.0,2014,-4,2010,490.9942287207666,1332.87097592427,-841.8767472035033,368,589115
25.0,2014,-3,2011,523.5946824739657,1223.523249161474,-699.9285666875084,368,549012
25.0,2014,-2,2012,1064.4499950360155,1439.8914336391636,-375.4414386031481,368,539833
25.0,2014,-1,2013,366.99013443773663,1063.1085228932789,-696.1183884555422,368,532856
25.0,2018,-8,2010,1418.072146360036,1332.87097592427,85.20117043576602,11890,589115
25.0,2018,-7,2011,1035.443943598072,1223.523249161474,-188.07930556340193,11890,549012
25.0,2018,-6,2012,1254.4454087682811,1439.8914336391636,-185.4460248708824,11890,539833
25.0,2018,-5,2013,517.1142038597732,1063.1085228932789,-545.9943190335057,11890,532856
25.0,2018,-4,2014,882.2935094945092,1499.3583056131913,-617.0647961186821,11890,528480
25.0,2018,-3,2015,608.4997370427835,1105.9853472139137,-497.48561017113013,11890,528480
25.0,2018,-2,2016,937.5925303083602,2052.5172766547157,-1114.9247463463555,11890,528480
25.0,2018,-1,2017,1603.108574749978,3061.1466578450227,-1458.0380830950446,11890,528480
25.0,2019,-8,2011,2701.745634856047,1223.523249161474,1478.2223856945732,9,549012
25.0,2019,-7,2012,2452.812817090269,1439.8914336391636,1012.9213834511056,9,539833
25.0,2019,-6,2013,990.6748250325521,1063.1085228932789,-72.43369786072674,9,532856
25.0,2019,-5,2014,594.7837727864584,1499.3583056131913,-904.5745328267329,9,528480
25.0,2019,-4,2015,792.2044926396123,1105.9853472139137,-313.7808545743013,9,528480
25.0,2019,-3,2016,1015.2206472758376,2052.5172766547157,-1037.2966293788782,9,528480
25.0,2019,-2,2017,3925.7082815797758,3061.1466578450227,864.5616237347531,9,528480
25.0,2019,-1,2018,493.94281684027777,2766.889513504533,-2272.9466966642553,9,452812
25.0,2020,-8,2012,344.8753192700776,1439.8914336391636,-1095.016114369086,24879,539833
25.0,2020,-7,2013,224.92066801306797,1063.1085228932789,-838.1878548802109,24879,532856
25.0,2020,-6,2014,168.8318925686432,1499.3583056131913,-1330.526413044548,24879,528480
25.0,2020,-5,2015,77.01599205619353,1105.9853472139137,-1028.9693551577202,24879,528480
25.0,2020,-4,2016,184.9236791576265,2052.5172766547157,-1867.5935974970891,24879,528480
25.0,2020,-3,2017,527.6358669275778,3061.1466578450227,-2533.510790917445,24879,528480
25.0,2020,-2,2018,1098.3393099985979,2766.889513504533,-1668.5502035059353,24879,452812
25.0,2020,-1,2019,640.0498726467459,2091.405643743968,-1451.3557710972223,24879,452812
25.0,2021,-8,2013,627.8754927546424,1063.1085228932789,-435.2330301386364,2119,532856
25.0,2021,-7,2014,1175.047012165739,1499.3583056131913,-324.3112934474523,2119,528480
25.0,2021,-6,2015,886.1161176849486,1105.9853472139137,-219.8692295289651,2119,528480
25.0,2021,-5,2016,1613.2221033278156,2052.5172766547157,-439.2951733269001,2119,528480
25.0,2021,-4,2017,3522.2778748517026,3061.1466578450227,461.1312170066799,2119,528480
25.0,2021,-3,2018,1793.4026813850148,2766.889513504533,-973.4868321195183,2119,452812
25.0,2021,-2,2019,1302.4357049208634,2091.405643743968,-788.9699388231047,2119,452812
25.0,2021,-1,2020,1070.3173734796317,2383.091942034035,-1312.7745685544035,2119,413598
25.0,2024,-8,2016,1746.2347420559781,2052.5172766547157,-306.2825345987376,10865,528480
25.0,2024,-7,2017,2544.365823625867,3061.1466578450227,-516.7808342191556,10865,528480
25.0,2024,-6,2018,1187.8563056632827,2766.889513504533,-1579.0332078412505,10865,452812
25.0,2024,-5,2019,832.7659148347716,2091.405643743968,-1258.6397289091965,10865,452812
25.0,2024,-4,2020,903.9880991379641,2383.091942034035,-1479.103842896071,10865,413598
25.0,2024,-3,2021,838.3127616366979,1862.8309244518216,-1024.5181628151236,10865,402105
25.0,2024,-2,2022,947.9651406053539,1799.5531325064228,-851.5879919010689,10865,402105
25.0,2024,-1,2023,1093.5822577629904,1379.6726992817298,-286.09044151873945,10865,402105
25.0,2025,-8,2017,4966.737384765037,3061.1466578450227,1905.5907269200143,2850,528480
25.0,2025,-7,2018,4459.880255378316,2766.889513504533,1692.990741873783,2850,452812
25.0,2025,-6,2019,3447.3567671242768,2091.405643743968,1355.9511233803087,2850,452812
25.0,2025,-5,2020,3655.489584372211,2383.091942034035,1272.397642338176,2850,413598
25.0,2025,-4,2021,2737.4636568622414,1862.8309244518216,874.6327324104197,2850,402105
25.0,2025,-3,2022,3029.863629689986,1799.5531325064228,1230.310497183563,2850,402105
25.0,2025,-2,2023,2289.672984694138,1379.6726992817298,910.0002854124082,2850,402105
25.0,2025,-1,2024,1268.6024237431336,1296.9295969914258,-28.327173248292183,2850,371762
50.0,2002,-1,2001,59.36533778766694,1518.7437360459455,-1459.3783982582786,11294,484014
50.0,2003,-2,2001,5402.907280646108,1518.7437360459455,3884.163544600163,93,484014
50.0,2003,-1,2002,350.987772505308,1326.9313439062544,-975.9435714009464,93,466213
50.0,2004,-3,2001,1943.5918491941843,1518.7437360459455,424.8481131482388,41,484014
50.0,2004,-2,2002,134.85015590673197,1326.9313439062544,-1192.0811879995224,41,466213
50.0,2004,-1,2003,279.12500297732464,913.0214253355522,-633.8964223582275,41,463576
50.0,2005,-4,2001,570.3558269252491,1518.7437360459455,-948.3879091206965,1104,484014
50.0,2005,-3,2002,1034.6959347617867,1326.9313439062544,-292.23540914446767,1104,466213
50.0,2005,-2,2003,515.3497795534256,913.0214253355522,-397.6716457821266,1104,463576
50.0,2005,-1,2004,587.0149525080055,1714.6312636423434,-1127.6163111343378,1104,463572
50.0,2006,-5,2001,3051.778447108265,1518.7437360459455,1533.0347110623195,773,484014
50.0,2006,-4,2002,2531.8750338968603,1326.9313439062544,1204.943689990606,773,466213
50.0,2006,-3,2003,1015.3261102527619,913.0214253355522,102.30468491720967,773,463576
50.0,2006,-2,2004,2866.5715291313277,1714.6312636423434,1151.9402654889843,773,463572
50.0,2006,-1,2005,1870.2228134665797,1343.8680606102514,526.3547528563283,773,435516
50.0,2007,-6,2001,737.896090670037,1518.7437360459455,-780.8476453759085,4207,484014
50.0,2007,-5,2002,442.8590416257302,1326.9313439062544,-884.0723022805241,4207,466213
50.0,2007,-4,2003,303.53405870016707,913.0214253355522,-609.4873666353851,4207,463576
50.0,2007,-3,2004,434.79355906288527,1714.6312636423434,-1279.8377045794582,4207,463572
50.0,2007,-2,2005,385.52942061322045,1343.8680606102514,-958.3386399970309,4207,435516
50.0,2007,-1,2006,391.25868671248526,1088.1667527943507,-696.9080660818654,4207,418997
50.0,2008,-7,2001,1395.4551846244738,1518.7437360459455,-123.28855142147177,2662,484014
50.0,2008,-6,2002,1773.8993005750178,1326.9313439062544,446.96795666876346,2662,466213
50.0,2008,-5,2003,1462.070212295021,913.0214253355522,549.0487869594689,2662,463576
50.0,2008,-4,2004,1658.0958552567524,1714.6312636423434,-56.53540838559093,2662,463572
50.0,2008,-3,2005,1256.0869196606038,1343.8680606102514,-87.78114094964758,2662,435516
50.0,2008,-2,2006,1168.575057315825,1088.1667527943507,80.40830452147429,2662,418997
50.0,2008,-1,2007,874.3108942277188,1834.9049796886636,-960.5940854609448,2662,403506
50.0,2009,-8,2001,598.6520442257497,1518.7437360459455,-920.0916918201958,14394,484014
50.0,2009,-7,2002,476.5291894567035,1326.9313439062544,-850.4021544495508,14394,466213
50.0,2009,-6,2003,261.250567904586,913.0214253355522,-651.7708574309662,14394,463576
50.0,2009,-5,2004,667.6312488564939,1714.6312636423434,-1047.0000147858495,14394,463572
50.0,2009,-4,2005,448.78744506376984,1343.8680606102514,-895.0806155464816,14394,435516
50.0,2009,-3,2006,366.5007405742797,1088.1667527943507,-721.666012220071,14394,418997
50.0,2009,-2,2007,367.530544216526,1834.9049796886636,-1467.3744354721375,14394,403506
50.0,2009,-1,2008,413.79218049040304,1723.3816968120984,-1309.5895163216953,14394,368702
50.0,2010,-8,2002,910.2799337093846,1326.9313439062544,-416.65141019686973,1118,466213
50.0,2010,-7,2003,312.87843059133155,913.0214253355522,-600.1429947442207,1118,463576
50.0,2010,-6,2004,1159.3741740456926,1714.6312636423434,-555.2570895966508,1118,463572
50.0,2010,-5,2005,659.5992239862337,1343.8680606102514,-684.2688366240177,1118,435516
50.0,2010,-4,2006,1334.9243703338047,1088.1667527943507,246.75761753945403,1118,418997
50.0,2010,-3,2007,564.1857995784021,1834.9049796886636,-1270.7191801102615,1118,403506
50.0,2010,-2,2008,826.6227487246094,1723.3816968120984,-896.758948087489,1118,368702
50.0,2010,-1,2009,1411.1248968563877,1460.0704491995994,-48.9455523432116,1118,332046
50.0,2011,-8,2003,1747.303822034448,913.0214253355522,834.2823966988959,12195,463576
50.0,2011,-7,2004,3492.042664733479,1714.6312636423434,1777.4114010911355,12195,463572
50.0,2011,-6,2005,2361.3614692582382,1343.8680606102514,1017.4934086479868,12195,435516
50.0,2011,-5,2006,2585.4115869236407,1088.1667527943507,1497.24483412929,12195,418997
50.0,2011,-4,2007,3021.4843266131925,1834.9049796886636,1186.5793469245289,12195,403506
50.0,2011,-3,2008,1892.865007665182,1723.3816968120984,169.4833108530836,12195,368702
50.0,2011,-2,2009,2800.128313108812,1460.0704491995994,1340.0578639092128,12195,332046
50.0,2011,-1,2010,2129.179163900352,1228.0625771182783,901.1165867820735,12195,319552
50.0,2012,-8,2004,949.9207559330115,1714.6312636423434,-764.7105077093319,897,463572
50.0,2012,-7,2005,1338.8698676057843,1343.8680606102514,-4.998193004467112,897,435516
50.0,2012,-6,2006,564.4522068923342,1088.1667527943507,-523.7145459020165,897,418997
50.0,2012,-5,2007,779.6507216213461,1834.9049796886636,-1055.2542580673176,897,403506
50.0,2012,-4,2008,1035.6814800785369,1723.3816968120984,-687.7002167335615,897,368702
50.0,2012,-3,2009,1282.374303303444,1460.0704491995994,-177.69614589615526,897,332046
50.0,2012,-2,2010,1183.160499849098,1228.0625771182783,-44.90207726918038,897,319552
50.0,2012,-1,2011,622.2857829603239,1181.624025128076,-559.3382421677521,897,288418
50.0,2013,-8,2005,889.7435764670131,1343.8680606102514,-454.1244841432383,1730,435516
50.0,2013,-7,2006,1099.1864478276493,1088.1667527943507,11.019695033298603,1730,418997
