group,time,event_time,att_no_covariate_recomputed,spatial_hac_se,hac_n_units,hac_n_pairs_used,hac_truncated,hac_cutoff_km,hac_kernel
2004,2017,13,-1065.613006052315,759.5365805088719,365146,50000000,True,25,bartlett
2004,2018,14,-1170.7135953532168,224.2240505815241,365146,50000000,True,25,bartlett
2004,2019,15,-211.31410375348503,885.0683515451151,365146,50000000,True,25,bartlett
2004,2020,16,-1709.196775180883,249.05769308614,365146,50000000,True,25,bartlett
2004,2021,17,-1137.1567927292504,278.27501091551187,365146,50000000,True,25,bartlett
2004,2022,18,-1041.1560729918094,261.823292608863,365146,50000000,True,25,bartlett
2004,2023,19,-482.39231577962573,328.5149271747375,365146,50000000,True,25,bartlett
2004,2024,20,-709.6500836229729,207.33872343489492,365146,50000000,True,25,bartlett
2004,2025,21,-409.0842725900935,403.01860003603974,365146,50000000,True,25,bartlett
2005,2002,-3,692.6591224729214,237.37822190125016,366209,50000000,True,25,bartlett
2005,2003,-2,707.9764561691253,129.9297859520784,366209,50000000,True,25,bartlett
2005,2004,-1,0.0,0.0,366209,50000000,True,25,bartlett
2005,2005,0,728.730486414727,167.5260584003275,366209,50000000,True,25,bartlett
2005,2006,1,666.9067407195721,151.04164023398573,366209,50000000,True,25,bartlett
2005,2007,2,-61.569240664231515,129.17545123613704,366209,50000000,True,25,bartlett
2005,2008,3,-307.33318153556263,117.00625616129038,366209,50000000,True,25,bartlett
2005,2009,4,228.9056016966099,117.92650169452267,366209,50000000,True,25,bartlett
2005,2010,5,417.4224069901341,117.83702132717004,366209,50000000,True,25,bartlett
2005,2011,6,234.84240708315917,113.67913857475595,366209,50000000,True,25,bartlett
2005,2012,7,469.6424344261468,133.54643803216777,366209,50000000,True,25,bartlett
2005,2013,8,69.67450977624037,114.8786013799238,366209,50000000,True,25,bartlett
2005,2014,9,5.966831789885447,220.95699532106698,366209,50000000,True,25,bartlett
2005,2015,10,62.43714698761153,123.75066364422014,366209,50000000,True,25,bartlett
2005,2016,11,-489.95135276145055,142.52479040962274,366209,50000000,True,25,bartlett
2005,2017,12,-1112.1860898418465,294.6347860205869,366209,50000000,True,25,bartlett
2005,2018,13,-647.5193366654361,153.09522487393698,366209,50000000,True,25,bartlett
2005,2019,14,-716.008237164902,122.93154220530333,366209,50000000,True,25,bartlett
2005,2020,15,-1093.0047744738358,138.86943058109557,366209,50000000,True,25,bartlett
2005,2021,16,-525.6558290831217,138.3338988705996,366209,50000000,True,25,bartlett
2005,2022,17,-613.7251995436084,112.73868054810762,366209,50000000,True,25,bartlett
2005,2023,18,-119.50127876203072,119.18663427252828,366209,50000000,True,25,bartlett
2005,2024,19,-23.15196737658144,128.5890109862572,366209,50000000,True,25,bartlett
2005,2025,20,51.617930188754684,125.97115761060329,366209,50000000,True,25,bartlett
2006,2002,-4,507.2578310286798,406.87671620842514,365878,50000000,True,25,bartlett
2006,2003,-3,-474.6276037108532,375.7198264931132,365878,50000000,True,25,bartlett
2006,2004,-2,596.9761860440076,423.719862499907,365878,50000000,True,25,bartlett
2006,2005,-1,0.0,0.0,365878,50000000,True,25,bartlett
2006,2006,0,290.73948062468787,413.17980082420587,365878,50000000,True,25,bartlett
2006,2007,1,-483.97284901233866,381.57611647409556,365878,50000000,True,25,bartlett
2006,2008,2,-815.6432700523271,487.1608126619154,365878,50000000,True,25,bartlett
2006,2009,3,328.0566724540019,357.2281280608602,365878,50000000,True,25,bartlett
2006,2010,4,527.3854551148904,674.6108092914494,365878,50000000,True,25,bartlett
2006,2011,5,-49.51935232710432,385.6037176216052,365878,50000000,True,25,bartlett
2006,2012,6,158.54887940614856,449.78175628014566,365878,50000000,True,25,bartlett
2006,2013,7,-758.2243371054203,388.90037532871673,365878,50000000,True,25,bartlett
2006,2014,8,-1002.5049292134715,393.43467624150685,365878,50000000,True,25,bartlett
2006,2015,9,-808.6260719765854,401.9069250858717,365878,50000000,True,25,bartlett
2006,2016,10,-1146.7257266118254,395.10744196182065,365878,50000000,True,25,bartlett
2006,2017,11,-147.31715454940377,684.0674627191477,365878,50000000,True,25,bartlett
2006,2018,12,-1418.2195308908633,395.2638124846984,365878,50000000,True,25,bartlett
2006,2019,13,-1675.0076491187815,276.1507197386033,365878,50000000,True,25,bartlett
2006,2020,14,-2318.730862695381,347.8961102176428,365878,50000000,True,25,bartlett
2006,2021,15,-1628.1017196106723,376.5905222006329,365878,50000000,True,25,bartlett
2006,2022,16,-1965.9636291620245,325.4967473996498,365878,50000000,True,25,bartlett
2006,2023,17,-796.3583975307436,373.3487713351925,365878,50000000,True,25,bartlett
2006,2024,18,-680.4010701647358,410.48843040537906,365878,50000000,True,25,bartlett
2006,2025,19,-936.0647117296761,338.0761674149684,365878,50000000,True,25,bartlett
2007,2002,-5,-355.60008913842825,61.59503323250638,369312,50000000,True,25,bartlett
2007,2003,-4,39.738416840573805,50.63666261048341,369312,50000000,True,25,bartlett
2007,2004,-3,-608.6437119204132,59.54477437309501,369312,50000000,True,25,bartlett
2007,2005,-2,-258.53532074933736,48.3284447417945,369312,50000000,True,25,bartlett
2007,2006,-1,0.0,0.0,369312,50000000,True,25,bartlett
2007,2007,0,-713.3023965483142,51.65064926770816,369312,50000000,True,25,bartlett
2007,2008,1,-507.4868086724293,65.29145651561969,369312,50000000,True,25,bartlett
2007,2009,2,-228.32123666341883,56.20381963298846,369312,50000000,True,25,bartlett
2007,2010,3,-40.69038188783128,61.88704083936951,369312,50000000,True,25,bartlett
2007,2011,4,-199.53998943658073,49.21728184520107,369312,50000000,True,25,bartlett
2007,2012,5,-103.39899328755374,62.90907551726291,369312,50000000,True,25,bartlett
2007,2013,6,-390.2899135229884,49.15155813575024,369312,50000000,True,25,bartlett
2007,2014,7,-729.8775118706675,50.121764530383686,369312,50000000,True,25,bartlett
2007,2015,8,-503.8442282550192,44.9508740392769,369312,50000000,True,25,bartlett
2007,2016,9,-1161.8331772338872,57.836544118494025,369312,50000000,True,25,bartlett
2007,2017,10,-1745.3161696685647,76.78517774120678,369312,50000000,True,25,bartlett
2007,2018,11,-1545.8686000837472,55.86974277751639,369312,50000000,True,25,bartlett
2007,2019,12,-1119.406139424091,72.69365851341531,369312,50000000,True,25,bartlett
2007,2020,13,-1626.366669807225,65.46692281310453,369312,50000000,True,25,bartlett
2007,2021,14,-1091.107538207353,57.43629574111616,369312,50000000,True,25,bartlett
2007,2022,15,-948.819147391775,62.60587118980776,369312,50000000,True,25,bartlett
2007,2023,16,-646.9188713665715,48.38299305728201,369312,50000000,True,25,bartlett
2007,2024,17,-535.8440091984733,51.228602126912484,369312,50000000,True,25,bartlett
2007,2025,18,-499.4068987670035,54.575364227585844,369312,50000000,True,25,bartlett
2008,2002,-6,1290.7683753627302,192.4581756349881,367767,50000000,True,25,bartlett
2008,2003,-5,1513.602775987299,209.8031173176828,367767,50000000,True,25,bartlett
2008,2004,-4,929.9867898253249,175.95484624603202,367767,50000000,True,25,bartlett
2008,2005,-3,927.3503838499171,133.09069592214047,367767,50000000,True,25,bartlett
2008,2006,-2,1092.6445761552109,117.52112347446389,367767,50000000,True,25,bartlett
2008,2007,-1,0.0,0.0,367767,50000000,True,25,bartlett
2008,2008,0,-104.02720300479159,110.6784922794546,367767,50000000,True,25,bartlett
2008,2009,1,847.4110570012126,123.31081383695728,367767,50000000,True,25,bartlett
2008,2010,2,605.2327686224104,133.05224699295516,367767,50000000,True,25,bartlett
2008,2011,3,754.4949571811476,146.6928670811981,367767,50000000,True,25,bartlett
2008,2012,4,409.707810950191,106.68348787583028,367767,50000000,True,25,bartlett
2008,2013,5,30.39368771420152,100.88270422641364,367767,50000000,True,25,bartlett
2008,2014,6,-253.8773907842487,101.42434988339843,367767,50000000,True,25,bartlett
2008,2015,7,14.793659025326065,104.88869147573327,367767,50000000,True,25,bartlett
2008,2016,8,-493.3008616857069,114.0274220052817,367767,50000000,True,25,bartlett
2008,2017,9,257.15546282117134,237.8564824884902,367767,50000000,True,25,bartlett
2008,2018,10,-468.65251554944416,137.11696081066398,367767,50000000,True,25,bartlett
2008,2019,11,-322.30656863894745,130.58615433652932,367767,50000000,True,25,bartlett
2008,2020,12,-333.66367044052396,161.7574914090317,367767,50000000,True,25,bartlett
2008,2021,13,-411.73822967700266,119.13586854582131,367767,50000000,True,25,bartlett
2008,2022,14,-455.1872840161209,107.08954128132399,367767,50000000,True,25,bartlett
2008,2023,15,248.44659321994243,122.95459018710491,367767,50000000,True,25,bartlett
2008,2024,16,47.53816542458685,111.988877027687,367767,50000000,True,25,bartlett
2008,2025,17,213.1230982482614,124.18616799818295,367767,50000000,True,25,bartlett
2009,2002,-7,435.4471554989559,60.03603040492793,379499,50000000,True,25,bartlett
2009,2003,-6,754.8320228514036,50.162571315280395,379499,50000000,True,25,bartlett
2009,2004,-5,381.57107467960645,65.77691101689949,379499,50000000,True,25,bartlett
2009,2005,-4,562.0998005076228,51.62085012998109,379499,50000000,True,25,bartlett
2009,2006,-3,732.6191506682053,49.27979816256043,379499,50000000,True,25,bartlett
2009,2007,-2,-64.73145875665308,50.72819840863897,379499,50000000,True,25,bartlett
2009,2008,-1,0.0,0.0,379499,50000000,True,25,bartlett
