covariate_set,group,time,att,se,att_csdid,se_csdid,att_difference_diffdiff_minus_csdid
none,2006,2009,328.0566724540019,357.39476816889646,328.0567,357.1645,-2.754599807985869e-05
none,2006,2010,527.3854551148904,675.0014526880682,527.3855,674.5657,-4.4885109559800185e-05
none,2006,2011,-49.51935232710432,385.7637417437479,-49.5194,385.5152,4.7672895675532345e-05
none,2006,2012,158.54887940614856,449.98736547407776,158.5489,449.6972,-2.059385144548287e-05
none,2006,2013,-758.2243371054203,389.0579325018766,-758.2243,388.8073,-3.710542034696118e-05
none,2006,2014,-1002.5049292134715,393.5637098852027,-1002.5049,393.3103,-2.921347152096132e-05
none,2006,2015,-808.6260719765854,402.05360512503444,-808.6261,401.7945,2.8023414529343427e-05
none,2006,2016,-1146.7257266118254,394.994847862875,-1146.7257,394.7409,-2.661182543306495e-05
none,2006,2017,-147.31715454940377,684.0040968588576,-147.3172,683.5632,4.5450596246610075e-05
none,2006,2018,-1418.2195308908633,395.05600764122073,-1418.2195,394.8022,-3.0890863399690716e-05
none,2006,2019,-1675.0076491187815,272.71527447459,-1675.0076,272.5407,-4.9118781589641e-05
none,2006,2020,-2318.730862695381,347.5346887814296,-2318.7309,347.3119,3.7304619127098704e-05
none,2006,2021,-1628.1017196106723,376.5619346176747,-1628.1017,376.3198,-1.961067232514324e-05
none,2006,2022,-1965.9636291620245,325.37693862950476,-1965.9636,325.1679,-2.9162024475226644e-05
none,2006,2023,-796.3583975307436,373.4344903910609,-796.3584,373.194,2.4692564011274953e-06
none,2006,2024,-680.4010701647358,410.61465813630736,-680.4011,410.3502,2.9835264285793528e-05
none,2006,2025,-936.0647117296761,338.1293054840298,-936.0647,337.9118,-1.172967608908948e-05
none,2007,2002,-328.9850788791948,77.53792402719682,-328.9851,77.5293,2.1120805172358814e-05
none,2007,2003,395.338505979002,58.5223799735172,395.3385,58.5161,5.979001969080855e-06
none,2007,2004,-648.382128760987,58.875934842560106,-648.3821,58.8696,-2.8760986992892867e-05
none,2007,2005,350.1083911710759,51.31771271180224,350.1084,51.3125,-8.828924137560534e-06
none,2007,2006,258.53532074933736,47.368946409532484,258.5353,47.364,2.0749337352299335e-05
none,2007,2007,-713.3023965483142,49.763851022778795,-713.3024,49.759,3.451685870459187e-06
none,2007,2008,-507.4868086724293,63.65168714890255,-507.4868,63.6451,-8.672429260059289e-06
none,2007,2009,-228.32123666341883,55.36970390714648,-228.3212,55.3638,-3.666341882535562e-05
none,2007,2010,-40.69038188783128,61.2168637377779,-40.6904,61.2101,1.8112168717721033e-05
none,2007,2011,-199.53998943658073,48.29367303412656,-199.54,48.2887,1.056341926641835e-05
none,2007,2012,-103.39899328755374,62.1090304730316,-103.399,62.1023,6.712446264600658e-06
none,2007,2013,-390.2899135229884,48.308554516720825,-390.2899,48.3037,-1.3522988410841208e-05
none,2007,2014,-729.8775118706675,48.501387628793054,-729.8775,48.4967,-1.187066743568721e-05
none,2007,2015,-503.8442282550192,43.935961295736945,-503.8442,43.9316,-2.8255019174139306e-05
none,2007,2016,-1161.8331772338872,54.38750748632939,-1161.8332,54.3826,2.2766112806493766e-05
